repo	revision	tier	bytes	file_sha256	status	answer_sha256	skip
Qwen/Qwen2.5-VL-32B-Instruct-AWQ	66c370b74a18e7b1e871c97918f032ed3578dfef	full	11422063	5eee858c5123a4279c3e1f7b81247343f356ac767940b2692a928ad929543214	ok	ebc9fda176829a0763975768800088d09be2320684e8709577c66799481dad2a	-
Qwen/Qwen3-4B	1cfa9a7208912126459214e8b04321603b3df60c	quick	11422654	aeb13307a71acd8fe81861d94ad54ab689df773318809eed3cbe794b4492dae4	ok	b2cb108c603ebdc73605fb1dcac2c2a375bc74086b69d8927c5a9f1ae04f86d6	-
Qwen/Qwen3-Coder-Next-FP8	da6e2ed27304dd39abadd9c82ef50e8de67bdd4c	full	7032399	19564a48c4f71a2a1b937cce34c737a1e662b171c5f5d7edf641a15cd896f07d	ok	b2cb108c603ebdc73605fb1dcac2c2a375bc74086b69d8927c5a9f1ae04f86d6	-
Qwen/Qwen3-Embedding-0.6B	97b0c614be4d77ee51c0cef4e5f07c00f9eb65b3	full	11423705	def76fb086971c7867b829c23a26261e38d9d74e02139253b38aeb9df8b4b50a	ok	4e86a78d382106e66d14b42585aeeda8ddcf3deedac645039735bdea53162f85	-
Qwen/Qwen3-Embedding-4B	5cf2132abc99cad020ac570b19d031efec650f2b	full	11422947	83cdf8c3a34f68862319cb1810ee7b1e2c0a44e0864ae930194ddb76bb7feb8d	ok	2c24a527126adbf149b5a9c7dc783ccb688afe268b1c2b040c0246245b392247	-
Qwen/Qwen3-ForcedAligner-0.6B-hf	c07281df297b9905d24a508279258cccf987a064	full	11429842	cadfb9cbd9ff8f4e309075ec6a71b063295ff796afb4b5dbc0fd2873fbb301f2	ok	b2cb108c603ebdc73605fb1dcac2c2a375bc74086b69d8927c5a9f1ae04f86d6	-
Qwen/Qwen3-VL-8B-Instruct-FP8	9cdc6310a8cb770ce18efaf4e9935334512aee45	full	10179867	ba85e4e5222d9f53d4bd00b303ef7e9743c8ac3d07e3c23f8498dbe17baa9a2d	ok	b2cb108c603ebdc73605fb1dcac2c2a375bc74086b69d8927c5a9f1ae04f86d6	-
Raffix/routing_module_action_question_conversation_move_hack_debertav3_nli	a221559018d0a9d15bb741f6625e4b39208f9fa1	full	8649148	f085a0a90014199877323aeb157e9524b3804968bcf2281c198c18b3bc141e0e	ok	71d3063c03d26252d58bd29098ba409262c70d89eaa8c99fc43e882ef57f34a5	-
Rakib/roberta-base-on-cuad	c0171973e286d120865dbeb4311af5af1b47d765	full	1356047	f0f4f2d4490c170ce4ef5343999b1973ad447e92438ca7e3df24767c6bfffa14	ok	b148ae47afaffc763e37b7897f4c8c1fb8af5c06737719eaa6d3c619890b9b78	-
raynardj/wenyanwen-ancient-translate-to-modern	164ab975150c37dcdf1bd2e782e2edd4b1add10c	full	269128	6995cd1a5138ff1ba6165b4424345d33a5b23b6e18f6573b805f15cf6bae6c9c	ok	501bec70358bed61b85dc07cc0999a8b349d2fbbe1765a4898f32f699db97640	-
